Name
Front-End Development
TypeScript
Web Applications
React.js
JavaScript
Cascading Style Sheets (CSS)
HTML
Bootstrap
React Native
Project Management
English
Machine Learning
Engineering
Marketing
Python (Programming Language)
MATLAB
Adobe Photoshop
Video Editing
Data Structures
Algorithms
Artificial Intelligence (AI)
NSS
Programming Languages
Mechanical Engineering
